# window	hash	date	THEME	subject
# Replace each 'TODO' in the THEME column with a theme key from lineage.themes[].key (in data.js). The script tallies lineage.buckets[].counts from this column on the next orchestrate run; do not hand-edit the counts.
0	9b416de	2025-11-19	foundation	init
0	3684b2b	2025-11-19	foundation	Revise README for Local Image Browser project
0	f09600c	2025-11-19	foundation	Refactor README for clarity and formatting
0	4ce9d9b	2025-11-19	foundation	added recursive image finder
0	1a4569a	2025-11-19	foundation	Merge branch 'master' of https://github.com/Capataina/PinterestStyleImageBrowser
0	11222e6	2025-11-19	foundation	Update README to reflect completed backend tasks
0	651aa4c	2025-11-20	foundation	added simple sqlite db
0	2cfadd2	2025-11-21	foundation	added image struct
0	8defc9a	2025-11-21	foundation	made simple db creation possible
0	c831a98	2025-11-21	foundation	Merge pull request #1 from Capataina/sqlite
0	2b68626	2025-11-22	foundation	masonry
0	b9df150	2025-11-22	foundation	mason
0	5c652df	2025-11-22	foundation	better animations
0	875f770	2025-11-24	foundation	combo box
0	27e5b07	2025-11-24	foundation	animations
0	d76c04e	2025-11-24	foundation	better selection animation
0	3b7e554	2025-11-24	foundation	small fix
0	01a4247	2025-11-24	foundation	focus
0	2c8798c	2025-11-24	foundation	adding next image
0	bae85e4	2025-11-24	foundation	idk
0	5a43a27	2025-11-24	foundation	Merge pull request #2 from Capataina/feature/tags-and-frontend
0	121b8c1	2025-11-24	retrieval	Add ONNX model and semantic search encoder
0	14d0cb5	2025-11-24	foundation	Track empty models directory with .gitkeep
0	41715af	2025-11-24	retrieval	Update encoder.rs
0	491dbb3	2025-11-24	foundation	Update README.md
0	08298df	2025-11-25	retrieval	Merge pull request #3 from Capataina/similarity-search
0	16cf7d3	2025-11-25	retrieval	Add cosine similarity index and batch encoder
0	90ff324	2025-11-25	retrieval	Add CUDA support and runtime checks to Encoder
0	cbb294f	2025-11-26	retrieval	Add batch image preprocessing to Encoder
0	b0c7a93	2025-11-27	foundation	building tag system
0	9e4e6d8	2025-11-27	foundation	Merge branch 'master' into feature/tags-and-frontend
